OrderNumber,OrderDate,OrderType,CustomerType,CustomerName,CustomerState,ProductCategory,ProductNumber,ProductName,Quantity,Price,Discount,OrderTotal,Region
1000001,1-Jan-20,Wholesale,Business,Tristan Henderson LLC,Tennessee,Rose,RS105,Portland Rose,11,$12.00 ,$2.40 ,$129.60 ,United States
1000002,1-Jan-20,Retail,Individual,Emmanuel Garcia,Texas,Rose,RS101,Prickly Wild Rose,1,$9.99 ,$0.00 ,$9.99 ,United States
1000003,1-Jan-20,Wholesale,Business,Christian Hughes Group,New York,Daisy,DS808,Pale Purple Coneflower,10,$34.99 ,$7.00 ,$342.90 ,United States
1000004,1-Jan-20,Retail,Individual,Geoffrey Gonzalez,Massachusetts,Rose,RS502,Rosa Glauca,1,$24.95 ,$0.00 ,$24.95 ,United States
1000005,1-Jan-20,Wholesale,Business,Eduardo Williams LLC,New York,Daisy,DS813,English Daisy,79,$29.99 ,$6.00 ,"$2,363.21 ",United States
1000006,1-Jan-20,Wholesale,Business,Ashley Martinez Industries,Pennsylvania,Rose,RS108,Panda Robot Blueprint,13,$7.99 ,$1.60 ,$102.27 ,United States
1000007,1-Jan-20,Retail,Individual,Jonathan Henderson,Ohio,Rose,RS503,Multiflora Rose,1,$24.99 ,$0.00 ,$24.99 ,United States
1000008,1-Jan-20,Retail,Individual,Irving Schmidt,Oregon,Rose,RS507,White Rose of York,1,$13.99 ,$0.00 ,$13.99 ,United States
1000009,1-Jan-20,Retail,Individual,Jessica Wilson,Arizona,Daisy,DS803,Curly Leaf Daisy,1,$29.99 ,$0.00 ,$29.99 ,United States
1000010,1-Jan-20,Retail,Individual,Bianca Lu,Pennsylvania,Rose,RS104,Beach Rose,1,$4.99 ,$0.00 ,$4.99 ,United States
1000011,1-Jan-20,Wholesale,Business,Tristan Alexander LLC,South Carolina,Orchid,OC209,Lycaste Orchid,13,$179.00 ,$35.80 ,"$2,291.20 ",United States
1000012,1-Jan-20,Retail,Individual,Madalena Sanchez,Louisiana,Sunflower,SF703,Russian Mammoth,1,$549.00 ,$0.00 ,$549.00 ,United States
